timestamp,city,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime,hour,day,month,aqi_change_rate
1723669200,Rawalpindi,4,1922.61,2.6,45.24,6.79,6.14,64.47,71.66,6.97,2024-08-14 21:00:00,21,14,8,-1.0
1723672800,Rawalpindi,4,1161.58,0.0,16.28,50.78,7.09,56.18,59.78,5.26,2024-08-14 22:00:00,22,14,8,0.0
1723676400,Rawalpindi,4,1081.47,0.0,11.14,63.66,7.75,55.42,58.21,4.75,2024-08-14 23:00:00,23,14,8,0.0
1723680000,Rawalpindi,4,1148.22,0.0,11.48,70.81,8.7,57.7,60.42,4.69,2024-08-15 00:00:00,0,15,8,0.0
1723683600,Rawalpindi,4,1281.74,0.0,14.91,77.25,9.3,61.45,64.26,4.75,2024-08-15 01:00:00,1,15,8,0.0
1723687200,Rawalpindi,4,1535.42,0.02,29.47,72.96,9.66,59.86,62.91,5.0,2024-08-15 02:00:00,2,15,8,0.0
1723690800,Rawalpindi,4,1869.2,0.76,50.72,65.8,10.13,54.68,57.69,4.81,2024-08-15 03:00:00,3,15,8,0.0
1723694400,Rawalpindi,3,1655.58,0.01,43.18,80.82,10.01,40.51,42.69,4.24,2024-08-15 04:00:00,4,15,8,-1.0
1723698000,Rawalpindi,3,1401.9,0.0,32.56,83.68,9.42,36.07,37.97,4.31,2024-08-15 05:00:00,5,15,8,0.0
1723701600,Rawalpindi,3,1214.98,0.0,24.68,82.97,9.18,36.82,38.42,4.43,2024-08-15 06:00:00,6,15,8,0.0
1723705200,Rawalpindi,3,1054.76,0.0,18.85,77.25,8.46,33.03,34.15,3.89,2024-08-15 07:00:00,7,15,8,0.0
1723708800,Rawalpindi,3,1014.71,0.0,18.68,70.81,7.33,27.42,28.29,3.29,2024-08-15 08:00:00,8,15,8,0.0
1723712400,Rawalpindi,3,1041.41,0.0,20.22,65.8,6.5,25.08,25.91,3.04,2024-08-15 09:00:00,9,15,8,0.0
1723716000,Rawalpindi,2,1094.82,0.05,22.28,64.37,6.85,24.42,25.29,3.1,2024-08-15 10:00:00,10,15,8,-1.0
1723719600,Rawalpindi,2,1174.93,0.05,27.08,62.94,8.7,24.15,25.1,3.45,2024-08-15 11:00:00,11,15,8,0.0
1723723200,Rawalpindi,2,1348.5,0.06,36.67,55.07,10.97,24.2,25.25,3.89,2024-08-15 12:00:00,12,15,8,0.0
1723726800,Rawalpindi,3,2696.99,23.69,79.51,6.97,10.97,32.1,34.72,8.74,2024-08-15 13:00:00,13,15,8,1.0
1723730400,Rawalpindi,3,4486.08,90.3,86.37,0.02,12.76,46.37,52.02,18.24,2024-08-15 14:00:00,14,15,8,0.0
1723734000,Rawalpindi,4,5287.17,125.17,97.33,0.0,16.21,59.06,67.45,31.41,2024-08-15 15:00:00,15,15,8,1.0
1723737600,Rawalpindi,4,5393.98,126.96,112.41,0.0,18.6,67.99,78.36,44.58,2024-08-15 16:00:00,16,15,8,0.0
1723741200,Rawalpindi,4,5287.17,125.17,116.53,0.0,18.12,74.72,86.63,50.16,2024-08-15 17:00:00,17,15,8,0.0
1723744800,Rawalpindi,5,5126.95,121.59,109.67,0.0,15.02,77.42,89.82,43.57,2024-08-15 18:00:00,18,15,8,1.0
1723748400,Rawalpindi,5,4699.71,110.86,97.33,0.0,10.73,75.03,86.63,30.15,2024-08-15 19:00:00,19,15,8,0.0
1723752000,Rawalpindi,4,4539.49,108.18,83.63,0.0,8.94,74.95,86.33,26.35,2024-08-15 20:00:00,20,15,8,-1.0
1723755600,Rawalpindi,5,4859.92,125.17,73.34,0.0,9.18,80.54,92.01,30.65,2024-08-15 21:00:00,21,15,8,1.0
1723759200,Rawalpindi,5,5180.36,141.26,65.12,0.0,9.66,86.19,98.68,36.98,2024-08-15 22:00:00,22,15,8,0.0
1723762800,Rawalpindi,5,5233.76,146.63,58.26,0.0,9.89,90.32,102.8,40.02,2024-08-15 23:00:00,23,15,8,0.0
1723766400,Rawalpindi,5,5340.58,150.2,54.15,0.0,10.49,94.87,106.88,42.56,2024-08-16 00:00:00,0,16,8,0.0
1723770000,Rawalpindi,5,5447.39,150.2,50.72,0.0,10.61,98.28,110.06,40.02,2024-08-16 01:00:00,1,16,8,0.0
1723773600,Rawalpindi,5,5767.82,162.72,47.3,0.25,10.37,101.6,114.08,31.92,2024-08-16 02:00:00,2,16,8,0.0
1723777200,Rawalpindi,5,6195.07,178.81,51.41,1.72,10.61,103.27,115.77,25.59,2024-08-16 03:00:00,3,16,8,0.0
1723780800,Rawalpindi,5,3524.78,46.04,86.37,4.02,26.7,95.05,101.25,11.53,2024-08-16 04:00:00,4,16,8,0.0
1723784400,Rawalpindi,5,2910.61,19.45,90.48,13.23,32.9,88.16,93.04,9.12,2024-08-16 05:00:00,5,16,8,0.0
1723788000,Rawalpindi,5,2777.1,13.86,91.85,27.18,37.19,82.57,86.93,8.49,2024-08-16 06:00:00,6,16,8,0.0
1723791600,Rawalpindi,3,1508.71,2.49,45.93,82.25,35.29,49.74,51.67,2.53,2024-08-16 07:00:00,7,16,8,-2.0
1723795200,Rawalpindi,3,1094.82,0.76,26.73,100.14,25.03,30.23,31.41,2.28,2024-08-16 08:00:00,8,16,8,0.0
1723798800,Rawalpindi,2,1028.06,0.39,23.65,97.27,18.84,20.7,21.78,2.98,2024-08-16 09:00:00,9,16,8,-1.0
1723802400,Rawalpindi,2,1468.66,0.75,47.3,60.8,15.14,18.92,20.69,5.89,2024-08-16 10:00:00,10,16,8,0.0
1723806000,Rawalpindi,3,2349.85,5.76,85.68,13.59,14.66,22.95,25.79,8.99,2024-08-16 11:00:00,11,16,8,1.0
1723809600,Rawalpindi,3,3311.16,34.87,98.71,0.86,15.97,27.25,30.84,10.89,2024-08-16 12:00:00,12,16,8,0.0
1723813200,Rawalpindi,3,4486.08,82.25,102.82,2.84,15.97,33.62,38.4,13.81,2024-08-16 13:00:00,13,16,8,0.0
1723816800,Rawalpindi,3,5554.2,121.59,108.3,0.18,15.5,42.54,49.36,16.47,2024-08-16 14:00:00,14,16,8,0.0
1723820400,Rawalpindi,4,6088.26,144.84,105.56,0.0,15.5,51.95,60.92,17.99,2024-08-16 15:00:00,15,16,8,1.0
1723824000,Rawalpindi,4,6141.66,144.84,101.45,0.0,14.07,58.47,69.3,17.99,2024-08-16 16:00:00,16,16,8,0.0
1723827600,Rawalpindi,4,5928.04,132.32,97.33,0.0,11.56,61.23,73.81,16.97,2024-08-16 17:00:00,17,16,8,0.0
1723831200,Rawalpindi,4,5554.2,119.81,90.48,0.0,9.42,60.75,74.61,16.47,2024-08-16 18:00:00,18,16,8,0.0
1723834800,Rawalpindi,4,4806.52,101.03,78.83,0.0,7.75,55.73,69.12,14.95,2024-08-16 19:00:00,19,16,8,0.0
1723838400,Rawalpindi,3,3631.59,66.16,63.06,0.0,6.14,47.54,59.08,12.92,2024-08-16 20:00:00,20,16,8,-1.0
1723842000,Rawalpindi,3,2349.85,25.7,49.35,0.1,4.29,38.23,46.63,9.37,2024-08-16 21:00:00,21,16,8,0.0
1723845600,Rawalpindi,2,1108.17,0.09,24.33,35.05,3.22,22.95,25.61,4.69,2024-08-16 22:00:00,22,16,8,-1.0
1723849200,Rawalpindi,2,774.38,0.0,7.88,56.51,3.04,15.08,16.16,3.55,2024-08-16 23:00:00,23,16,8,0.0
1723852800,Rawalpindi,2,720.98,0.0,5.4,60.08,3.19,12.12,12.86,3.42,2024-08-17 00:00:00,0,17,8,0.0
1723856400,Rawalpindi,2,754.36,0.0,7.45,57.22,3.61,11.15,11.83,3.26,2024-08-17 01:00:00,1,17,8,0.0
1723860000,Rawalpindi,2,921.25,0.08,16.28,47.21,4.41,11.17,12.12,3.29,2024-08-17 02:00:00,2,17,8,0.0
1723863600,Rawalpindi,2,1201.63,1.29,29.47,34.33,5.54,12.23,13.52,3.39,2024-08-17 03:00:00,3,17,8,0.0
1723867200,Rawalpindi,2,1321.79,3.58,30.85,44.35,6.2,12.31,13.75,3.23,2024-08-17 04:00:00,4,17,8,0.0
1723870800,Rawalpindi,2,1268.39,3.46,26.05,74.39,7.75,12.85,14.33,3.42,2024-08-17 05:00:00,5,17,8,0.0
1723874400,Rawalpindi,3,1201.63,2.79,21.08,118.73,10.97,16.62,18.08,3.77,2024-08-17 06:00:00,6,17,8,1.0
1723878000,Rawalpindi,4,1201.63,1.72,17.99,173.09,16.45,25.26,26.67,4.02,2024-08-17 07:00:00,7,17,8,1.0
1723881600,Rawalpindi,5,1255.04,1.26,17.48,208.85,22.65,34.15,35.53,4.05,2024-08-17 08:00:00,8,17,8,1.0
1723885200,Rawalpindi,5,1295.09,1.05,17.82,228.88,28.37,39.5,40.8,3.8,2024-08-17 09:00:00,9,17,8,0.0
1723888800,Rawalpindi,5,1201.63,0.94,19.19,214.58,31.47,38.24,39.43,3.67,2024-08-17 10:00:00,10,17,8,0.0
1723892400,Rawalpindi,5,1255.04,0.85,26.39,205.99,37.67,41.52,42.85,4.05,2024-08-17 11:00:00,11,17,8,0.0
1723896000,Rawalpindi,5,1415.25,0.68,37.36,185.97,43.39,44.5,46.03,4.62,2024-08-17 12:00:00,12,17,8,0.0
1723899600,Rawalpindi,4,2029.42,0.47,66.49,137.33,37.67,50.17,52.5,7.16,2024-08-17 13:00:00,13,17,8,-1.0
1723903200,Rawalpindi,4,2723.69,0.05,90.48,85.83,26.46,61.23,64.82,8.99,2024-08-17 14:00:00,14,17,8,0.0
1723906800,Rawalpindi,4,2964.02,0.0,91.85,55.79,17.88,72.45,77.06,8.23,2024-08-17 15:00:00,15,17,8,0.0
1723910400,Rawalpindi,5,3097.53,0.01,87.74,35.76,11.09,76.47,82.26,8.87,2024-08-17 16:00:00,16,17,8,1.0
1723914000,Rawalpindi,5,3257.75,0.49,89.11,14.31,7.99,78.61,85.73,11.02,2024-08-17 17:00:00,17,17,8,0.0
1723917600,Rawalpindi,5,3417.97,4.69,91.85,2.19,7.63,83.32,91.26,13.55,2024-08-17 18:00:00,18,17,8,0.0
1723921200,Rawalpindi,5,3337.86,7.15,86.37,0.59,8.7,82.75,89.77,14.31,2024-08-17 19:00:00,19,17,8,0.0
1723924800,Rawalpindi,5,3017.43,4.19,74.71,1.01,9.3,77.69,83.37,13.05,2024-08-17 20:00:00,20,17,8,0.0
1723928400,Rawalpindi,5,2803.8,1.79,63.75,1.79,9.89,76.13,80.76,13.05,2024-08-17 21:00:00,21,17,8,0.0
1723932000,Rawalpindi,5,2696.99,1.13,57.58,1.97,9.78,77.73,81.72,14.06,2024-08-17 22:00:00,22,17,8,0.0
1723935600,Rawalpindi,5,2696.99,1.49,52.09,0.98,8.82,80.35,83.99,14.31,2024-08-17 23:00:00,23,17,8,0.0
1723939200,Rawalpindi,5,2723.69,3.16,47.3,0.23,7.75,83.31,86.65,14.06,2024-08-18 00:00:00,0,18,8,0.0
1723942800,Rawalpindi,5,2990.72,7.82,47.98,0.05,7.21,89.9,93.36,14.31,2024-08-18 01:00:00,1,18,8,0.0
1723946400,Rawalpindi,5,3524.78,25.03,47.98,2.7,6.97,98.64,103.43,13.3,2024-08-18 02:00:00,2,18,8,0.0
1723950000,Rawalpindi,5,4058.84,44.26,58.26,12.34,7.27,107.52,113.61,14.19,2024-08-18 03:00:00,3,18,8,0.0
1723953600,Rawalpindi,5,2830.51,9.72,52.09,101.57,11.21,99.93,103.99,8.61,2024-08-18 04:00:00,4,18,8,0.0
1723957200,Rawalpindi,5,2243.04,3.52,31.87,197.41,11.8,102.17,105.86,7.54,2024-08-18 05:00:00,5,18,8,0.0
1723960800,Rawalpindi,5,1815.8,1.23,15.59,268.94,12.04,96.34,99.72,8.49,2024-08-18 06:00:00,6,18,8,0.0
1723964400,Rawalpindi,5,974.66,0.5,5.48,185.97,10.13,38.76,40.12,4.56,2024-08-18 07:00:00,7,18,8,0.0
1723968000,Rawalpindi,4,754.36,0.47,4.67,153.06,8.23,25.42,26.18,2.85,2024-08-18 08:00:00,8,18,8,-1.0
1723971600,Rawalpindi,4,700.95,0.49,5.14,143.05,7.63,22.17,22.83,2.69,2024-08-18 09:00:00,9,18,8,0.0
1723975200,Rawalpindi,3,680.92,0.53,6.0,133.04,7.27,19.03,19.67,2.91,2024-08-18 10:00:00,10,18,8,-1.0
1723978800,Rawalpindi,3,720.98,0.67,9.25,128.75,9.78,18.36,19.09,3.32,2024-08-18 11:00:00,11,18,8,0.0
1723982400,Rawalpindi,3,807.76,0.77,16.28,123.02,14.54,18.89,19.68,3.58,2024-08-18 12:00:00,12,18,8,0.0
1723986000,Rawalpindi,3,1815.8,3.05,74.71,55.79,15.97,25.59,27.6,9.12,2024-08-18 13:00:00,13,18,8,0.0
1723989600,Rawalpindi,3,3150.94,22.13,117.9,1.59,14.19,36.92,41.12,15.07,2024-08-18 14:00:00,14,18,8,0.0
1723993200,Rawalpindi,3,3631.59,46.94,105.56,0.0,11.92,45.03,51.21,17.99,2024-08-18 15:00:00,15,18,8,0.0
1723996800,Rawalpindi,4,3631.59,51.86,91.85,0.0,10.73,50.47,58.3,21.79,2024-08-18 16:00:00,16,18,8,1.0
1724000400,Rawalpindi,4,3898.62,57.22,91.85,0.0,12.04,57.74,67.18,29.13,2024-08-18 17:00:00,17,18,8,0.0
1724004000,Rawalpindi,4,4486.08,65.27,102.82,0.0,13.95,66.55,77.61,37.49,2024-08-18 18:00:00,18,18,8,0.0
1724007600,Rawalpindi,4,4806.52,67.95,113.79,0.0,16.21,72.14,83.29,42.05,2024-08-18 19:00:00,19,18,8,0.0
1724011200,Rawalpindi,5,4859.92,68.84,113.79,0.0,18.12,75.96,86.64,43.57,2024-08-18 20:00:00,20,18,8,1.0
1724014800,Rawalpindi,5,4806.52,67.06,108.3,0.0,19.07,80.13,89.88,39.52,2024-08-18 21:00:00,21,18,8,0.0
1724018400,Rawalpindi,5,4379.27,50.96,98.71,0.0,16.45,83.52,91.19,27.11,2024-08-18 22:00:00,22,18,8,0.0
1724022000,Rawalpindi,5,3524.78,25.93,85.0,0.0,12.76,84.12,89.81,18.75,2024-08-18 23:00:00,23,18,8,0.0
1724025600,Rawalpindi,5,2723.69,7.71,70.6,0.76,10.01,80.18,84.45,14.57,2024-08-19 00:00:00,0,19,8,0.0
1724029200,Rawalpindi,4,2162.93,0.75,56.21,8.4,8.7,71.56,75.19,11.78,2024-08-19 01:00:00,1,19,8,-1.0
1724032800,Rawalpindi,4,2002.72,3.91,52.78,10.28,9.42,62.18,66.23,10.26,2024-08-19 02:00:00,2,19,8,0.0
1724036400,Rawalpindi,4,2056.12,12.85,54.84,15.2,12.64,54.04,58.31,9.12,2024-08-19 03:00:00,3,19,8,0.0
1724040000,Rawalpindi,3,1815.8,10.95,54.15,39.7,25.51,48.37,52.0,6.59,2024-08-19 04:00:00,4,19,8,-1.0
1724043600,Rawalpindi,4,1628.88,8.72,46.61,79.39,33.38,52.2,55.59,5.13,2024-08-19 05:00:00,5,19,8,1.0
1724047200,Rawalpindi,4,1468.66,4.53,33.24,153.06,32.9,58.83,62.01,5.07,2024-08-19 06:00:00,6,19,8,0.0
1724050800,Rawalpindi,4,921.25,0.94,9.85,177.38,19.31,38.82,40.31,2.66,2024-08-19 07:00:00,7,19,8,0.0
1724054400,Rawalpindi,4,761.03,0.5,7.28,147.34,12.87,27.39,28.47,2.82,2024-08-19 08:00:00,8,19,8,0.0
1724058000,Rawalpindi,3,734.33,0.25,9.08,121.59,11.8,22.49,23.52,3.2,2024-08-19 09:00:00,9,19,8,-1.0
